column_id,display_name,name,primary_key,primary_timestamp,type,tenant_id,tableId,availability,category,display_resource_key
241462,c_customerDateAttribute01,c_customerDateAttribute01,0,0,1,1089,43,null,,$c_customerDateAttribute01
241416,c_customerStringAttribute05,c_customerStringAttribute05,0,0,2,1089,43,"[""LOOKUP""]",,$c_customerStringAttribute05
233976,Last Redemption Date,c_lastRedemptionDate,0,0,1,10179,43,"[""CAMPAIGN"",""CONTENT""]",,
243029,ML Studio 3 Score,c_studio3Score,0,0,3,1076,10001,[],,$c_studio3Score
246435,c_productStringAttribute06,c_productStringAttribute06,0,0,2,10142,23,"[""LOOKUP""]",,$c_productStringAttribute06
242130,c_transactionStringAttribute14,c_transactionStringAttribute14,0,0,2,1028,32,"[""LOOKUP""]",,$c_transactionStringAttribute14
222366,Mktgsubcategory,c_mktgSubCategory,0,0,2,1041,44,"[""CONTENT"",""CAMPAIGN""]",,
152,Web Visit Count - Last 30 Days - Group,totalvisitcountlast30daysgroup,0,0,2,0,5,"[""LOOKUP"",""CAMPAIGN"",""API"",""CONTENT""]",Web Activity,$totalvisitcountlast30daysgroup
228776,PLTV_A_Decile,PLTV_A_Decile,0,0,0,0,10001,[],none,$PLTV_A_Decile
239183,c_productCategoryDateAttribute02,c_productCategoryDateAttribute02,0,0,1,1067,4,[],,$c_productCategoryDateAttribute02
238197,DS - Discount Sensitivity Segment - J.Crew,c_dsDiscountSensitivitySegmentJc,0,0,2,1086,43,"[""CONTENT"",""CAMPAIGN"",""LOOKUP""]",,
242938,c_transactionStringAttribute12,c_transactionStringAttribute12,0,0,2,1076,32,"[""LOOKUP""]",,$c_transactionStringAttribute12
243733,c_transactionDateAttribute02,c_transactionDateAttribute02,0,0,1,1086,42,null,,$c_transactionDateAttribute02
246392,c_customerStringAttribute23,c_customerStringAttribute23,0,0,2,10142,5,"[""LOOKUP""]",,$c_customerStringAttribute23
233880,Delivery Type,c_deliveryType,0,0,2,10179,42,"[""CAMPAIGN"",""CONTENT""]",,
220502,L12MProductNetRevenue_Total,c_productNetRevenueTotalL12m,0,0,3,1045,5,"[""API"",""SUMMARY"",""CONTENT"",""CUBE"",""CAMPAIGN""]",,
227836,RFM - Recency Weeks - Apparel - Non-Gender,c_appendAttribute262,0,0,0,1086,10034,"[""CONTENT"",""CAMPAIGN""]",,
233004,Cross Channel Flag,c_crossChannelFlag,0,0,2,10180,43,"[""CONTENT"",""CAMPAIGN""]",,
231998,Visit ID,c_visitId,0,0,2,10169,32,"[""CONTENT"",""LOOKUP"",""CAMPAIGN""]",,
812,First Transaction Date,FirstTransactionDate,0,0,1,0,35,"[""CAMPAIGN"",""API"",""CONTENT""]",none,$FirstTransactionDate
242688,c_customerStringAttribute02,c_customerStringAttribute02,0,0,2,1076,5,"[""LOOKUP""]",,$c_customerStringAttribute02
242276,c_customerDateAttribute05,c_customerDateAttribute05,0,0,1,1038,43,[],,$c_customerDateAttribute05
221229,PIM Name,c_pimName,0,0,2,1026,2,"[""API"",""CONTENT"",""CAMPAIGN""]",,$c_pimName
236579,Sales Organization Code,c_salesOrgCode,0,0,2,10181,34,"[""CONTENT"",""LOOKUP"",""CAMPAIGN""]",,
223401,Crm Code2 Desc,c_crmCode2Desc,0,0,2,1067,34,"[""CONTENT"",""CAMPAIGN"",""LOOKUP""]",,
242730,c_customerDecimalAttribute04,c_customerDecimalAttribute04,0,0,5,1076,5,[],,$c_customerDecimalAttribute04
223753,SFSC Agent Id,c_sfscAgentId,0,0,2,1067,17,"[""SUMMARY"",""CUBE"",""PII"",""API"",""CAMPAIGN"",""EXPORT"",""CONTENT""]",,
242327,c_customerDecimalAttribute06,c_customerDecimalAttribute06,0,0,5,1038,5,[],,$c_customerDecimalAttribute06
231645,Sports - Cycling,c_sportsCycling,0,0,2,10169,10061,"[""CAMPAIGN"",""CONTENT""]",,
240507,c_transactionStringAttribute11,c_transactionStringAttribute11,0,0,2,1041,32,"[""LOOKUP""]",,$c_transactionStringAttribute11
238163,Delete Flag,DeleteFlag,0,0,4,10175,10075,null,,
245675,c_productDateAttribute01,c_productDateAttribute01,0,0,1,1031,2,[],,$c_productDateAttribute01
246900,c_productStringAttribute13,c_productStringAttribute13,0,0,2,1075,23,"[""LOOKUP""]",,$c_productStringAttribute13
224084,Capacity,c_capacity,0,0,2,1071,34,"[""CONTENT"",""CAMPAIGN"",""LOOKUP""]",,
238646,Prescreen ID,c_prescreenId,0,0,2,10175,10077,null,,
230540,First Transaction (Digital CA) Date,c_firstTransactionDateDigitalCa,0,0,1,1038,5,"[""CAMPAIGN""]",,
229744,Loyalty - Membership ID,c_loyaltyMembershipId,0,0,2,10142,43,"[""CAMPAIGN"",""CONTENT""]",,
237599,Push Click Count Last 61-90 Days,c_pushClickCountLast6190Days,0,0,0,1052,43,"[""CAMPAIGN"",""CONTENT"",""API""]",,$c_pushClickCountLast6190Days
235037,Email Opt Out Reason,c_emailOptOutReason,0,0,2,10184,43,"[""CONTENT"",""LOOKUP"",""CAMPAIGN""]",,
234787,SFMC Capture Source FA,c_sfmcCaptureSrcFa,0,0,2,10179,5,"[""API"",""LOOKUP"",""CONTENT"",""CAMPAIGN""]",,
232824,Customer Requestdnm Old,c_customerRequestdnmOld,0,0,2,10173,5,"[""CONTENT"",""LOOKUP"",""CAMPAIGN""]",,
226592,Small Business Indicator,c_dbSmallBusiness,0,0,2,1028,43,"[""CONTENT"",""CAMPAIGN""]",,
246453,c_productDecimalAttribute04,c_productDecimalAttribute04,0,0,5,10142,23,[],,$c_productDecimalAttribute04
240341,c_productDecimalAttribute05,c_productDecimalAttribute05,0,0,5,1041,23,[],,$c_productDecimalAttribute05
227688,Sweepstakes/Contests,c_appendAttribute114,0,0,0,1086,10034,"[""CONTENT"",""CAMPAIGN""]",,
226839,Additional Email Attribute 5,c_additionalEmailAttribute5,0,0,2,1038,6,null,,
225907,Lastnotnull 8,c_lastnotnull_8,0,0,2,1078,43,null,,
240143,c_eventDecimalAttribute02,c_eventDecimalAttribute02,0,0,5,1033,18,[],,$c_eventDecimalAttribute02
235877,Source Region,c_sourceRegion,0,0,2,10184,6,"[""CONTENT"",""LOOKUP"",""CAMPAIGN""]",,
224899,Sales Org Code,c_salesOrgCode,0,0,2,1076,32,"[""CONTENT"",""LOOKUP"",""CAMPAIGN""]",,
224760,Crm Code1 Desc,c_crmCode1Desc,0,0,2,1076,34,"[""CONTENT"",""CAMPAIGN"",""LOOKUP""]",,
233454,RFM - Total Online Orders - $100-$249.99,c_appendAttribute340,0,0,0,10180,10066,"[""CONTENT"",""CAMPAIGN""]",,
240394,c_productCategoryIntegerAttribute03,c_productCategoryIntegerAttribute03,0,0,0,1041,4,[],,$c_productCategoryIntegerAttribute03
237263,Marketing Message 1,c_marketingMessage1,0,0,2,10185,5,"[""CONTENT"",""LOOKUP"",""CAMPAIGN""]",,
236426,Discount ID,c_discountId,0,0,2,10181,1,null,,
245715,c_transactionItemStringAttribute06,c_transactionItemStringAttribute06,0,0,2,1031,21,"[""LOOKUP""]",,$c_transactionItemStringAttribute06
246316,c_customerStringAttribute07,c_customerStringAttribute07,0,0,2,10142,43,"[""LOOKUP""]",,$c_customerStringAttribute07
247215,CC Studio String 03,c_ccstudioString03,0,0,2,1033,10001,"[""LOOKUP""]",,$c_ccstudioString03
240705,c_customerDecimalAttribute04,c_customerDecimalAttribute04,0,0,5,1071,5,[],,$c_customerDecimalAttribute04
221034,Capacity,c_capacity,0,0,2,1038,34,"[""LOOKUP"",""CAMPAIGN"",""CONTENT""]",,
225734,Row Modified,RowModified,0,0,1,1078,10030,null,,
236118,Order Number Reference,c_orderNumberReference,0,0,2,10175,42,"[""CONTENT"",""CAMPAIGN""]",,
230910,Batch,Batch,0,0,2,10167,10057,null,,
243543,c_customerDecimalAttribute07,c_customerDecimalAttribute07,0,0,5,1086,5,null,,$c_customerDecimalAttribute07
243671,c_transactionItemDecimalAttribute05,c_transactionItemDecimalAttribute05,0,0,5,1086,21,[],,$c_transactionItemDecimalAttribute05
244000,c_productStringAttribute07,c_productStringAttribute07,0,0,2,1026,2,"[""LOOKUP""]",,$c_productStringAttribute07
230527,First Transaction (Physical US) Org ID,c_firstTransactionOrgIdPhysicalUs,0,0,2,1038,43,"[""LOOKUP"",""CAMPAIGN""]",,
221771,Affliate Source Description,c_affiliateSourceDesc,0,0,2,1049,42,"[""CAMPAIGN""]",,
220505,TotalReturnsRevenuePercentage,c_totalReturnsRevenuePercentage,0,0,0,1045,5,"[""API"",""SUMMARY"",""CONTENT"",""CUBE"",""CAMPAIGN""]",,
238714,SSN Last 4,c_ssnLast4,0,0,2,1031,10079,null,,
6264,Mobile Phone Validity,MobilePhoneValidity,0,0,2,0,43,"[""LOOKUP"",""CAMPAIGN"",""CONTENT""]",none,$MobilePhoneValidity
221658,Chain Id,c_chainId,0,0,2,1041,10007,null,,
235207,Customer Capture,c_customerCapture,0,0,2,10184,32,"[""CONTENT"",""LOOKUP"",""CAMPAIGN""]",,
243580,c_productDecimalAttribute04,c_productDecimalAttribute04,0,0,5,1086,23,[],,$c_productDecimalAttribute04
238666,Price Type Code,c_priceTypeCode,0,0,2,10169,10078,null,,
224001,Grid Code,c_gridCode,0,0,2,1071,21,"[""CONTENT"",""CAMPAIGN"",""LOOKUP""]",,
220112,Tax Exempt - Ice Cream,c_taxExemptIceCream,0,0,2,1028,5,"[""CUBE"",""CONTENT"",""SUMMARY"",""CAMPAIGN"",""API"",""LOOKUP""]",,
1011,Date Modified,DateModified,0,0,1,0,42,"[""CONTENT""]",none,$DateModified
200236,CouponID,CouponID,0,0,2,0,1002,"[""CAMPAIGN"",""CONTENT"",""EXPORT""]",none,$CouponID
237588,Days since Last Push Open,c_pushDaysSinceLastOpen,0,0,0,1052,43,"[""CAMPAIGN"",""CONTENT"",""API""]",,$c_pushDaysSinceLastOpen
243472,c_customerIntegerAttribute06,c_customerIntegerAttribute06,0,0,0,1086,43,null,,$c_customerIntegerAttribute06
245169,c_customerStringAttribute15,c_customerStringAttribute15,0,0,2,10175,5,"[""LOOKUP""]",,$c_customerStringAttribute15
237283,PCMS Number,c_pcmsNumber,0,0,2,10185,32,"[""CONTENT"",""LOOKUP"",""CAMPAIGN""]",,
223390,Unit Of Measure,c_unitOfMeasure,0,0,2,1067,32,"[""CONTENT"",""CAMPAIGN""]",,
222662,Primary Address Status,c_primaryAddressStatus,0,0,2,1031,24,null,,
222531,Country,c_country,0,0,2,1038,1,null,,
230911,Row Created,RowCreated,0,0,1,10167,10057,null,,
229076,No. of Employees,c_numOfEmployees,0,0,0,10114,43,"[""CAMPAIGN"",""CONTENT"",""API""]",,
243739,c_transactionStringAttribute03,c_transactionStringAttribute03,0,0,2,1086,32,"[""LOOKUP""]",,$c_transactionStringAttribute03
243812,c_eventIntegerAttribute01,c_eventIntegerAttribute01,0,0,0,1086,17,[],,$c_eventIntegerAttribute01
230617,Children's Age Ranges - 00 to 02 Unknown Gender,c_childAgeRange0to2Unknown,0,0,2,10100,43,"[""LOOKUP"",""CAMPAIGN"",""CONTENT""]",,
223496,Company Code,c_companyCode,0,0,2,1067,39,"[""CAMPAIGN"",""CONTENT"",""LOOKUP""]",,
200757,Decile,Decile,0,0,0,0,1009,"[""CAMPAIGN"",""CONTENT""]",none,$Decile
233773,Purchased 3,c_mwc37,0,0,2,10180,5,"[""CONTENT"",""CAMPAIGN""]",,
227160,Pattern,c_pattern,0,0,2,1086,23,"[""CONTENT"",""CAMPAIGN""]",,
227636,Bank Card - Presence in Household,c_appendAttribute62,0,0,2,1086,10034,"[""CONTENT"",""CAMPAIGN""]",,
243459,c_customerStringAttribute23,c_customerStringAttribute23,0,0,2,1086,43,"[""LOOKUP""]",,$c_customerStringAttribute23
243982,c_productIntegerAttribute04,c_productIntegerAttribute04,0,0,0,1026,23,[],,$c_productIntegerAttribute04
245963,c_customerDateAttribute09,c_customerDateAttribute09,0,0,1,10171,43,null,,$c_customerDateAttribute09
237351,Country,c_country,0,0,2,1033,6,"[""CONTENT"",""CAMPAIGN""]",,
