uid,tenant_id,table_name,column_name,display_name,availability,properties,created_by,date_created,date_modified,modified_by
4fd7e77c701b4768b8378c74ecf432fc,1086,c_customerappend,c_appendAttribute340,,,"{""description"":""Online purchases have been made within the $100-$249.99 Range in the past 24 months. This is an indication of how many purchases in that price range have been made.""}",system,2020-10-05 17:27,2023-01-31 07:45,system
380d576275e34ef7b9a9cd0c1aa90613,10179,c_customerappend,c_appendAttribute86,,,"{""description"":""Indicates the precision used in the append of the Age in Two-Year Increments - 100% element (Household, Household Inferred, Zip+4, Zip level)""}",system,2022-07-07 09:50,2023-01-10 06:16,system
37e88cabd3be48ca83cb798cb05178fc,0,customersummary,TotalRevenue_Last12Months,,[],"{""description"":""The total amount of revenue generated by your customers in the last 12 months (i.e. “last year”).""}",system,2019-06-19 20:36,2024-06-25 21:09,system
f8155ac943a0419597942b752360db4d,1089,c_customerappend,c_appendAttribute154,,,"{""description"":""Someone in the household has an interest in owning a cat or actually owns a cat.""}",system,2020-10-09 19:58,2022-08-09 20:51,system
0cce1da5b50443069529fd854fafd0c4,10180,c_customerappend,c_appendAttribute188,,,"{""description"":""Indicates the dollar amount the household has spent in the Collectibles category in the past 48 months.""}",system,2023-01-10 09:20,2023-01-10 09:20,system
68c3e572ec624b65955865dfcac89f06,1028,customersummary,c_taxExemptLights,,,"{""description"":""Exempt from Taxes on Lights""}",system,2019-10-08 17:20,2024-04-23 07:04,system
f5693b1613c8466cb1585a5f41da1dad,10179,c_customerappend,c_appendAttribute448,,,"{""description"":""Indicates the date of recent retail purchase activity.  There are 5 of these elements:  Element: 9156 Retail Purchase Activity Date and Category 1   Element: 9157 Retail Purchase Activity Date and Category 2   Element: 9158 Retail Purchase Activity Date and Category 3   Element: 9159 Retail Purchase Activity Date and Category 4   Element: 9160 Retail Purchase Activity Date and Category 5   They are sorted by most recent date to least recent date; then within date sorted by category descending.   If there are more than 5, only the most recent 5 are kept.  They could all have the same date, but be different categories.  They could all have different dates, but be the same category.   They could all have different dates and different categories.""}",system,2022-07-07 09:50,2023-01-10 06:16,system
47f1249fac714579aad96f258b993706,10179,c_customerappend,c_appendAttribute428,,,"{""description"":""Indicates the date of recent retail purchase activity.  There are 5 of these elements:  Element: 9156 Retail Purchase Activity Date and Category 1   Element: 9157 Retail Purchase Activity Date and Category 2   Element: 9158 Retail Purchase Activity Date and Category 3   Element: 9159 Retail Purchase Activity Date and Category 4   Element: 9160 Retail Purchase Activity Date and Category 5   They are sorted by most recent date to least recent date; then within date sorted by category descending.   If there are more than 5, only the most recent 5 are kept.  They could all have the same date, but be different categories.  They could all have different dates, but be the same category.   They could all have different dates and different categories.""}",system,2022-07-07 09:50,2023-01-10 06:16,system
80d44fa9a53f41e1a90c65fb76f7894f,1086,c_customerappend,c_appendAttribute193,,,"{""description"":""Indicates the dollar amount the household has spent in the Furniture category in the past 48 months. Furniture includes bedroom furniture, dining room furniture, living room furniture, formal living room furniture, childrens furniture, etc.""}",system,2020-10-05 17:27,2023-01-31 07:45,system
e310c20dd6bd4d1bad284cebe56d992d,10175,transactionpaymentmethodxref,SaleRevenue,,"[""CONTENT"",""CAMPAIGN""]",,system,2022-11-30 23:00,2023-01-26 08:44,system
badc51863f634b26ad556b407148c6c5,10179,c_customerappend,c_appendAttribute436,,,"{""description"":""Indicates purchases made by the household in a general category.""}",system,2022-07-07 09:50,2023-01-10 06:16,system
025540933df840eb91c4b883b90e297a,10179,c_customerappend,c_appendAttribute208,,,"{""description"":""Indicates the dollar amount the household has spent in the Pets category in the past 48 months.""}",system,2022-07-07 09:50,2023-01-10 06:16,system
92a07e63fa2c4da2b1244c4c4b304d8c,10179,c_customerappend,c_appendAttribute75,,,"{""description"":""Indicates possession of premium credit card(s) in a household. Premium credit cards would be Gold or Platinum level.""}",system,2022-07-07 09:50,2023-01-10 06:16,system
321307e868774de6b6bc10047fd4fb81,0,productcategory,SourceCategoryNumber,,[],"{""description"":""The unique identifier of the category in your data""}",system,2019-10-02 21:11,2024-06-25 21:09,system
41339adc061c4c539f9253a1b6a8f0ca,0,organization,Address1,,[],"{""description"":""The address where the organization is located. Required for distance-to-store calculations.""}",system,2019-10-02 21:11,2024-06-25 21:09,system
d2f3f212a839497a9281d711bf579bf3,1086,c_customerappend,c_appendAttribute3,,,"{""description"":""Indicates the highest known education of the input individual\u0027s name appearing on the customer\u0027s input file.""}",system,2020-10-05 17:27,2023-01-31 07:45,system
6d74814abc4c4c3bbc9f04e86efa0ff8,0,customersummary,totaltransactioncount_last12monthsgroup,,[],"{""description"":""The number of transactions your customers placed between today and 12 months ago (i.e. “last year”), grouped into buckets for easier use.""}",system,2019-06-19 20:37,2024-06-25 21:09,system
3534f07134764fc88749a5df9dfba3c8,1089,c_customerappend,c_appendAttribute282,,,"{""description"":""Indicates the number of weeks since the household has made a purchase in Gifts/Holiday Items.""}",system,2020-10-09 19:58,2022-08-09 20:51,system
c63528319e6546b5a843321340505ee8,1086,c_customerappend,c_appendAttribute87,,,"{""description"":""Indicates the highest known education of the 1st individual in the household.    100% \u003d This element is created by first copying the corresponding data from 9509 or 9650 and then filling in the match rate up to 100% with inferred ZIP4 or ZIP level data. Even if the record does not match to InfoBase, the 100% element will be populated by hitting the ZIP tables. There is a match level indicator for each 100% element that adds one additional position to the element.""}",system,2020-10-05 17:27,2023-01-31 07:45,system
f6bd90d1c3c04f17aadecd23db2463c7,1089,c_customerappend,c_appendAttribute431,,,"{""description"":""Indicates the most recent date of retail activity.""}",system,2020-10-09 19:58,2022-08-09 20:51,system
5ac1bc5829774169b1b3c9aaf8e8dce1,10179,c_customerappend,c_appendAttribute375,,,"{""description"":""Indicates the total dollars purchased in the month of July within the last 4 years in the Household. The Buying Activity data has been summarized into a categorical level according to purchase activity. This removes certain point-of-sale information, such as SKUs (stock keeping unit) but allows visibility into types of purchases and buying behaviors within the Household.""}",system,2022-07-07 09:50,2023-01-10 06:16,system
696b659b9f6f414d820e58cba35e782f,0,customersummary,TotalVisitCountLast30Days,,[],"{""description"":""The number of web page visits in the last 30 days (i.e. “last month”).""}",system,2019-06-19 20:36,2024-06-25 21:09,system
6779ab5b44d644b3b9104d8d4342b533,10179,c_customerappend,c_appendAttribute466,,,"{""description"":""Indicates a mail order purchase made by the household of food.""}",system,2022-07-07 09:50,2023-01-10 06:16,system
8d25b7c3615844b7a2d87fe90fe542d8,10179,c_customerappend,c_appendAttribute433,,,"{""description"":""Indicates purchases made by the household in the catalog showroom category.""}",system,2022-07-07 09:50,2023-01-10 06:16,system
afe63e8d60ff41bfa40e33f641843973,10179,c_customerappend,c_appendAttribute225,,,"{""description"":""Indicates the number of orders the household has made in the Arts \u0026 Antiques category in the past 48 months.""}",system,2022-07-07 09:50,2023-01-10 06:16,system
de857ef6872c41e8ad909e5bc9537926,1086,c_customerappend,c_appendAttribute443,,,"{""description"":""Indicates the category of recent retail purchase activity. There are 5 of these elements:  Element: 9156 Retail Purchase Activity Date and Category 1   Element: 9157 Retail Purchase Activity Date and Category 2   Element: 9158 Retail Purchase Activity Date and Category 3   Element: 9159 Retail Purchase Activity Date and Category 4   Element: 9160 Retail Purchase Activity Date and Category 5   They are sorted by most recent date to least recent date; then within date sorted by category descending.   If there are more than 5, only the most recent 5 are kept.  They could all have the same date, but be different categories.  They could all have different dates, but be the same category.   They could all have different dates and different categories.""}",system,2020-10-05 17:27,2023-01-31 07:45,system
ceeaab9ff20043e3951efe7a170382e5,1089,c_customerappend,c_appendAttribute316,,,"{""description"":""Offline purchases have been made within the $50 - $99.99 Range in the past 24 months. This is an indication of how many purchases in that price range have been made.""}",system,2020-10-09 19:58,2022-08-09 20:51,system
2bff5eb7f9ab456d9d9a771b9198155a,1089,c_customerappend,c_appendAttribute127,,,"{""description"":""Someone in the household has an interest in gourmet cooking.""}",system,2020-10-09 19:58,2022-08-09 20:51,system
6f525686f4eb4c9ea3eff79c96b6fc65,1089,c_customerappend,c_appendAttribute10,,,"{""description"":""Indicates the type of business owned by someone in the household.""}",system,2020-10-09 19:58,2022-08-09 20:51,system
0ade4ba597704a9589cbaf5d5f798aa0,0,transaction,DateCreated,,[],"{""description"":""Date at which the record was created in the client\u0027s system.""}",system,2019-10-02 21:11,2024-06-25 21:09,system
7e2abb8c9231465abdaea4799ba6fc27,10179,c_customerappend,c_appendAttribute454,,,"{""description"":""Indicates a mail order purchase made by the household of teen fashion apparel.""}",system,2022-07-07 09:50,2023-01-10 06:16,system
8dbc63ffd43542b6bb9453203f38bc6b,1086,c_customerappend,c_appendAttribute33,,,"{""description"":""Indicates the precision used in the append of the Adult Age Range Present in Household - 100% element (Household, Household Inferred, Zip+4, Zip level)""}",system,2020-10-05 17:27,2023-01-31 07:45,system
2f95ad7b352d4465a41fe3981fcfe9fe,1086,c_customerappend,c_appendAttribute329,,,"{""description"":""Indicates the Average dollar amount spent per online order for a household over the past 24 months.""}",system,2020-10-05 17:27,2023-01-31 07:45,system
d6ee0a43598e4fdbb904492d7521e4c9,10179,c_customerappend,c_appendAttribute220,,,"{""description"":""Indicates the number of orders the household has made in the Apparel - Non-gender Specific category in the past 48 months.""}",system,2022-07-07 09:50,2023-01-10 06:16,system
74240f12d9c140ce938725c536c7248a,10179,c_customerappend,c_appendAttribute138,,,"{""description"":""These people show a high interest in doing-it-themselves for home improvements. Rather than hire someone to do the job, they will do it.""}",system,2022-07-07 09:50,2023-01-10 06:16,system
82cca68b8a504fe9a5059dbab4839cc3,1089,c_customerappend,c_appendAttribute111,,,"{""description"":""Someone in the household has an interest in religion / inspirational.""}",system,2020-10-09 19:58,2022-08-09 20:51,system
6963ad60cdb9474bb8cee6975d84e01f,1086,c_customerappend,c_appendAttribute182,,,"{""description"":""Indicates the dollar amount the household has spent in the Apparel - Women\u0027s Plus Sizes category in the past 48 months.""}",system,2020-10-05 17:27,2023-01-31 07:45,system
25c4c0ce1e714ba3bac5db43567f25d6,10179,c_customerappend,c_appendAttribute149,,,"{""description"":""Someone in the household has an interest in video games.""}",system,2022-07-07 09:50,2023-01-10 06:16,system
d4d2bba4f5a64a4ca886a2e71e4428fc,1089,c_customerappend,c_appendAttribute83,,,"{""description"":""Indicates the highest known education of the 2nd individual in the household.""}",system,2020-10-09 19:58,2022-08-09 20:51,system
f129e6cf0e1b429b9a792888de475030,10167,ml_out_mc_summary,LTB_A_Value,Likelihood to Buy DIY - Today,,,system,2023-08-10 08:58,2023-10-19 20:05,system
d21562ff757746109383a7350982e42b,1089,c_customerappend,c_appendAttribute310,,,"{""description"":""Indicates the Offline Dollars spent in the last 24 months. The following elements are not actual transactions. This data has been rolled up into categories removing all transaction level data including SKUs.""}",system,2020-10-09 19:58,2022-08-09 20:51,system
7cc133df923a480c98e69e132de06953,10180,c_customerappend,c_appendAttribute356,,,"{""description"":""Indicates the Number of Orders purchased in the month of June within the last 4 years in the Household. The Buying Activity data has been summarized into a categorical level according to purchase activity. This removes certain point-of-sale information, such as SKUs (stock keeping unit) but allows visibility into types of purchases and buying behaviors within the Household.""}",system,2023-01-10 09:20,2023-01-10 09:20,system
75f959038dbc42f9b21e2c99e65a65fe,10180,c_customerappend,c_appendAttribute129,,,"{""description"":""Someone in the household has an interest in natural or organic foods.""}",system,2023-01-10 09:20,2023-01-10 09:20,system
b67ee8d35e2c47babc7dd4dd0476b23a,10179,c_customerappend,c_appendAttribute450,,,"{""description"":""Indicates a mail order purchase made by the household of female apparel.""}",system,2022-07-07 09:50,2023-01-10 06:16,system
