table_id,active,display_name,immutable,name,partition_type,step,visible,tenant_id,display_resource_key,availability
1001,1,temp_coupon,,temp_coupon,NONE,default,1,0,$temp_coupon,[]
1002,1,temp_couponhistory,,temp_couponhistory,NONE,default,1,0,$temp_couponhistory,[]
10076,1,Order Origin,,c_orderorigin,NONE,default,1,10169,,null
3,1,Promotion Campaign Cross-Reference,,promotioncampaignxref,NONE,default,1,0,$promotioncampaignxref,[]
5,1,Customer Summary,,customersummary,NONE,default,1,0,$customersummary,"[""SUMMARY"",""EXPORT"",""CONTENT""]"
32,1,Transaction Summary,,transactionsummary,TIMESTAMP,default,1,0,$transactionsummary,"[""CONTENT"",""SUMMARY""]"
44,1,Promotion,,promotion,NONE,default,1,0,$promotion,"[""CONTENT""]"
10010,1,Tender,,c_tender,NONE,default,1,1038,,null
82,1,Campaign History,,campaignhistory,NONE,default,1,0,,null
10003,1,shoprunner,,c_shoprunner,NONE,default,1,1023,,null
74,1,Machine Learning - V2V Recommendations,,vtovrecommendations,NONE,default,1,0,$vtovrecommendations,[]
10074,1,Country Map,,c_countrymap,NONE,default,1,10185,,null
1008,1,ml_output_mastercustomer_likelihood_ltc_a,,ml_output_mastercustomer_likelihood_ltc_a,NONE,default,1,0,$ml_output_mastercustomer_likelihood_ltc_a,"[""ML""]"
10002,1,User to Product Recommendations,,ml_out_mc_utoprecommendations,MARKED_COL,default,1,0,$ml_out_mc_utoprecommendations,"[""CONTENT"",""ML""]"
21,1,Transaction Item,,transactionitem,TIMESTAMP,default,1,0,$transactionitem,"[""EXPORT""]"
45,1,Machine Learning - Cluster,,mlcluster,NONE,default,1,0,$mlcluster,"[""ML""]"
10041,1,Bin,,c_bin,NONE,default,1,1071,,null
66,1,Machine Learning - Brand Clustering Input,,mlbrandclusteringinput,NONE,default,1,0,$mlbrandclusteringinput,"[""ML""]"
10067,1,Customer Append,,c_customerappend,NONE,default,1,10179,,"[""CAMPAIGN"",""CONTENT""]"
